,nodes
0,Ablation
1,Access Control (CS)
2,Activity Recognition (CS)
3,Adaptive Design (CS)
4,Administrative Database (CS)
5,Adolescence
6,Adverse Drug Reaction
7,Agency
8,Agility (CS)
9,Alcohol Abuse
10,Anomaly Detecting (CS)
11,Attitude To Computer
12,Attribution
13,Automated Detection (CS)
14,Barrier
15,Bayesian Analyses (CS)
16,Biomedical Informatics
17,Blood Pressure
18,Breast Cancer
19,Child
20,Choking
21,Classification (CS)
22,Clinic
23,Clinical Coding
24,Clinical Guideline
25,Clinical Medicine
26,Clinical Safety
27,Cloud Computing (CS)
28,Collaboration
29,Combined
30,Complex Adaptive Systems (CS)
31,Complexity
32,Computer Assisted Instruction
33,Computer Security (CS)
34,Computerised
35,Confidentiality
36,Coreference (CS)
37,Cost Effectiveness
38,Cost Effectiveness Analysis
39,Crowd-Sourcing (CS)
40,Data Collection
41,Data Presentation (CS)
42,Data Quality (CS)
43,Data Visualisation (CS)
44,Dea Analysis (CS)
45,Decision Aid
46,Decision Analyses (CS)
47,Decision Making (CS)
48,Decision Support System (CS)
49,Decision Support Techniques
50,Dental
51,Diagnoses
52,Difference
53,Distance Education (CS)
54,Document Analysis (CS)
55,E-Research
56,Economic Evaluation
57,Efficiency
58,Emergency Department
59,Eminence
60,Epidemiologic Method
61,Equality
62,Ethical
63,FIR Filter (CS)
64,Facial Feature Detection (CS)
65,Factor Analysis (CS)
66,Family Practice
67,Feeling
68,Fetal Electrocardiogram
69,Focus Group
70,Forensic Identification (CS)
71,Group Recommender System (CS)
72,Guideline
73,Health 2.0
74,Health Economic
75,Health Education
76,Health Informatics System
77,Health Information Exchange
78,Health Policy
79,Health Promoting
80,Health Service Research
81,Health Technology Assessment
82,Hospital Information System
83,Hospitalist
84,Human Computer Interaction (CS)
85,Informatics Technology (CS)
86,Information Extraction (CS)
87,Information Management
88,Information Rerieval (CS)
89,Information System (CS)
90,Intensive Care Unit
91,International Classification Of Disease
92,Intervention Studies
93,Kiosk
94,Knowledge Acquisition (CS)
95,Knowledge Management (CS)
96,Knowledge Representation (CS)
97,Knowledge Translation (CS)
98,Lcmodel (CS)
99,Literacy
100,Medical Education
101,Medical Image Analysis
102,Medical Informatics Application
103,Medical Order Entry System
104,Medical Record Linkage
105,Medical Record System
106,Medication Error
107,Medlee
108,Mobile Health
109,Model Selection (CS)
110,Motion Learning (CS)
111,Multi-Media Systems (CS)
112,Multi-Spectral Imaging (CS)
113,Natural Language Processing (CS)
114,Non Linear Dynamics (CS)
115,Nursing Informatics
116,Older Adult
117,Oncology
118,Online Support Group
119,Online System (CS)
120,Outcome Assessment
121,Paediatric
122,Patience
123,Patient Empowerment
124,Patient Preference
125,Patient-Centered Care
126,Physician Patient Relations
127,Practice Guideline
128,Pram Nets (CS)
129,Predicting Model
130,Privacy Protection
131,Problem Based Learning (CS)
132,Process Assessment
133,Prostate Cancer
134,Psychometric Methods/Scaling
135,Quality Improvement
136,Quality Of Care
137,Quality Of Life
138,Questionnaire
139,R Software (CS)
140,Readability
141,Research Transfer
142,Risk Assessment
143,Risk Communication Or Risk Perception
144,Search Engine
145,Security (CS)
146,Selective Sampling
147,Semantic Interoperability (CS)
148,Social Network Analysis (CS)
149,Social Networking Sites (CS)
150,Software Design (CS)
151,Standard Gamble
152,Structured Data (CS)
153,Surgery
154,Systematic Review
155,Technology Assessment
156,Text Message
157,Text Mining (CS)
158,Treatment Selection
159,Usability Testing (CS)
160,User Computer Interface (CS)
161,User-Configurable Ehr
162,Utility Assessment
163,Web Site (CS)
164,Word Sense Disambiguation (CS)
165,Work Flow
166,World Wide Web (CS)
